"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"TRINITY_DN1000_c0_g1"	640.53254371384	-0.195202019826877	0.126935571667802	-1.53780392101383	0.124096564600644	0.18821602151477
"TRINITY_DN1001_c0_g1"	7.06719353152728	1.04826600134483	0.803449715210418	1.30470641970456	0.191992834658349	0.268252477344657
"TRINITY_DN1002_c0_g1"	596.025665751038	0.082746591436509	0.169538827840645	0.488068677189894	0.625501196656114	0.710307172489147
"TRINITY_DN1003_c0_g1"	291.320830921874	0.925746960258112	0.108438228795093	8.53709038357151	1.37643885816224e-17	1.19327926508408e-16
"TRINITY_DN1004_c0_g1"	8.78601987226827	-0.900935699638725	0.759234029986583	-1.18663766909216	0.235370570816459	0.316934630010281
"TRINITY_DN1005_c0_g1"	737.576974065486	0.760238450527889	0.153016802989673	4.96833312207677	6.75308799682981e-07	2.75856688636131e-06
"TRINITY_DN1006_c0_g1"	119.67431890096	0.644122375594517	0.167184154372354	3.8527716816985	0.000116788280668021	0.000355428389837221
"TRINITY_DN1007_c0_g1"	525.53203279642	0.849439405641995	0.0888409344093859	9.56135154688617	1.16228785726796e-21	1.17525017537875e-20
"TRINITY_DN1008_c0_g1"	45.6578926963518	3.5619871071053	0.354468794694158	10.048803055227	9.29899941641728e-24	1.02922801272248e-22
"TRINITY_DN1008_c0_g2"	3.02514259391338	5.57595430151277	3.92775359019689	1.4196293564417	0.15571561426574	0.225929409296871
"TRINITY_DN1009_c0_g1"	2.53589593682393	-4.26569397777442	3.6287673753758	-1.17552147506636	0.239786150700056	NA
"TRINITY_DN100_c0_g1"	24.2228515296398	1.72208608283617	2.38109523604408	0.72323276144856	0.469536894288043	0.565374472946843
"TRINITY_DN1010_c0_g1"	4.40562641745564	-1.86456255843382	1.25434717803401	-1.48648045061674	0.137152084033922	0.203798780973651
"TRINITY_DN1011_c0_g1"	3.6620523697949	-1.11304402106794	1.50274634876102	-0.740673249338199	0.458891582836099	0.554625685542852
"TRINITY_DN1012_c0_g1"	22.8487087897586	-1.05380456214447	0.407597355733941	-2.58540578666643	0.00972644505064572	0.0205522862985095
"TRINITY_DN1013_c0_g1"	205.642795744466	0.0119427609702996	0.184663042480009	0.0646732600628116	0.948434153616437	0.962320581119728
"TRINITY_DN1015_c0_g1"	3.0693457534657	-0.142140353966831	1.3964617886957	-0.101786067558348	0.918926484687037	0.940184328887998
"TRINITY_DN1018_c0_g1"	17.4359776743662	-1.20994867313127	0.494936519141417	-2.44465426643039	0.0144991058354882	0.0293543489933219
"TRINITY_DN1019_c0_g1"	1.65008682301215	-3.6450715991404	3.92529541446289	-0.928610770468386	0.353090838115205	NA
"TRINITY_DN101_c0_g1"	40.2541777296427	-0.213220329895508	0.275087558246104	-0.775099867311167	0.438280650003196	0.534165281957519
"TRINITY_DN1020_c0_g1"	668.695429112843	0.596663556714697	0.0982075806907143	6.07553462286963	1.23575312478239e-09	6.48576652080677e-09
"TRINITY_DN1021_c0_g1"	3.44789827301914	-2.6624548420622	1.87610350196573	-1.41914070267048	0.155857999447196	0.226007601490803
"TRINITY_DN1022_c0_g1"	7.09562656311772	6.80376522440558	2.31560444901184	2.93822428407797	0.0033009812469592	0.00772192560028297
"TRINITY_DN1023_c0_g1"	12.4529923465963	1.45156740025526	0.574340318346892	2.52736461969668	0.0114922121331843	0.0238117059624919
"TRINITY_DN1024_c0_g1"	91.9632810108524	-0.381863143943441	0.184325662473001	-2.07167650353284	0.0382956200042008	0.0687778715162932
"TRINITY_DN1025_c0_g1"	62.516154356887	-2.85386127818574	0.331362801108413	-8.61249744581933	7.14858908221595e-18	6.26221008168354e-17
"TRINITY_DN1026_c0_g1"	3.12799909447977	-1.75884874502263	1.65264268423566	-1.06426438201074	0.287208948487603	0.372358598611192
"TRINITY_DN1028_c0_g1"	18.4119813300956	-2.05529098749765	0.519559759310576	-3.95583174152073	7.62688292900162e-05	0.000238792766237518
"TRINITY_DN1029_c0_g1"	325.295964975951	0.292648652660256	0.118610610951934	2.46730583639645	0.013613402859025	0.0277522621521815
"TRINITY_DN102_c0_g1"	172.939586775094	0.0798049885312286	0.138387266767054	0.576678695920512	0.564156526587572	0.65451301015918
"TRINITY_DN1030_c0_g1"	154.0462664294	-0.177039318395527	0.157090465928698	-1.1269895811238	0.259746886112269	0.342053512575828
"TRINITY_DN1031_c0_g1"	1074.18011377319	1.15836188630539	0.09031487823778	12.8258146266406	1.17544584612212e-37	2.16393414649894e-36
"TRINITY_DN1032_c0_g1"	666.813066880165	0.156615122243214	0.115997814314086	1.35015580396325	0.176966011414496	0.250799818182847
"TRINITY_DN1033_c0_g1"	5.55115910410416	-3.40178479200594	1.38881084156652	-2.44942269327972	0.014308542150977	0.0290171367386077
"TRINITY_DN1034_c0_g1"	60.6766122882723	-1.22599804088807	0.24980921629299	-4.90773742891117	9.21330866101783e-07	3.70987410184582e-06
"TRINITY_DN1035_c0_g1"	54.8630414369741	-3.55325222317815	0.44257156145008	-8.02865012730588	9.8550964711535e-16	7.75296092596891e-15
"TRINITY_DN1037_c0_g1"	33.0394607740505	0.214633360075967	0.325808961871461	0.658770583973821	0.5100430995184	0.604759036918068
"TRINITY_DN1038_c0_g1"	2.51076437235415	-4.25181741792209	2.55230670622269	-1.66587244689515	0.0957388225771997	NA
"TRINITY_DN1039_c0_g1"	209.207899695986	-0.611984784152765	0.136759851564308	-4.47488628535835	7.64519905390919e-06	2.74068420779348e-05
"TRINITY_DN103_c0_g1"	3.02233425050072	0.720239861726883	2.25490886419435	0.319409743410723	0.749415823318932	0.817080284368171
"TRINITY_DN1040_c0_g1"	15.6499179241376	-2.63265569175376	0.702097158723017	-3.74970281398385	0.000177044260233288	0.000523627456329485
"TRINITY_DN1041_c0_g1"	51.740781000337	0.0941462970276594	0.253931810358637	0.370754246562072	0.71082058228388	0.783741370153759
"TRINITY_DN1042_c0_g1"	104.207779528929	-0.452645621739244	0.172895172991727	-2.61803504347055	0.00884377223860888	0.0188778187082724
"TRINITY_DN1043_c0_g1"	28.035943971399	-2.46664140712125	0.475740956858105	-5.18484139648494	2.16198771427586e-07	9.28085973927164e-07
"TRINITY_DN1044_c0_g1"	28.8413938124067	0.568385074245513	0.33339577725012	1.70483585285214	0.0882250427671913	0.140973485872675
"TRINITY_DN1045_c0_g1"	10.3922418277079	-2.65769683958132	0.926296896946809	-2.8691630602903	0.00411559565717984	0.00945275084444091
"TRINITY_DN1046_c0_g1"	18.1926868920476	-1.70113686448636	0.543322769989405	-3.13098761629212	0.00174219506848192	0.00431483777488808
"TRINITY_DN1047_c0_g1"	6.16091333076921	-1.41704645032304	1.14040424793544	-1.24258257796603	0.214021693195773	0.294046725845437
"TRINITY_DN1048_c0_g1"	226.203749646603	0.184000745184085	0.158112981754898	1.16372952519052	0.244533640233372	0.326297400910525
"TRINITY_DN1049_c0_g1"	112.256322195161	-0.375649343142913	0.167460172616706	-2.24321602726832	0.024882887265908	0.0472470878626664
"TRINITY_DN104_c0_g1"	6.44513168793784	-3.66099731992982	1.33046182001352	-2.75167409155163	0.00592914954955099	0.0131974523525194
"TRINITY_DN1050_c0_g1"	2.403345694787	-3.08345219229418	2.17354807671363	-1.41862617410161	0.156008030851446	NA
"TRINITY_DN1051_c0_g1"	103.37708572752	0.0781680265051302	0.178647829761195	0.437553742520245	0.661709809739098	0.741976989586869
"TRINITY_DN1052_c0_g1"	1099.04806901473	-0.260957241148176	0.0884661269869023	-2.94979841478549	0.00317981327207449	0.00746899145081399
"TRINITY_DN1053_c0_g1"	500.890078223936	1.16862128644584	0.183763005026488	6.35939364551311	2.02551716953149e-10	1.1353748997683e-09
"TRINITY_DN1055_c0_g1"	17.5626998022584	-0.294079504304456	0.443945871425656	-0.662421982572042	0.507700819360657	0.602309989602437
"TRINITY_DN1056_c0_g1"	74.2415487088291	0.400876439653834	0.197511693283141	2.0296339573129	0.0423937605466829	0.0750997857014444
"TRINITY_DN1057_c0_g1"	22.3000426032121	1.48645678734602	0.391325974011151	3.79851296889295	0.000145566813646468	0.000436419656234106
"TRINITY_DN1058_c0_g1"	150.756505110534	0.851548913126963	0.1474833583197	5.7738644063221	7.74737898837254e-09	3.81409427119879e-08
"TRINITY_DN1059_c0_g1"	166.615973339939	-0.180085138231769	0.135338170118667	-1.33063080484882	0.183310521252102	0.25811032369909
"TRINITY_DN105_c0_g1"	18.7015757529714	-1.73671011868681	0.536632250378928	-3.23631335511512	0.00121084382592693	0.00308596411948582
"TRINITY_DN1060_c0_g1"	2.65674847277825	-3.23857352419384	2.10474452846189	-1.5387014815335	0.12387719048648	NA
"TRINITY_DN1061_c0_g1"	49.0634580916841	-0.933871945970819	0.298675013795359	-3.12671600514489	0.00176770594410218	0.00437105469814358
"TRINITY_DN1063_c0_g1"	816.478577570827	-3.15337946942731	0.479345890942145	-6.57850526939827	4.75201035474899e-11	2.7901712174673e-10
"TRINITY_DN1064_c0_g1"	190.920836160358	-0.663490668532855	0.209116391144874	-3.17282956587174	0.00150961115749745	0.00378097822135642
"TRINITY_DN1065_c0_g1"	14.022428034113	-0.530416408146926	0.515314368847609	-1.02930645876048	0.303335689211865	0.390151589859923
"TRINITY_DN1066_c0_g1"	13.8766891484559	-1.80664491344033	0.601683075743657	-3.00265203771502	0.00267638249648822	0.00638015809855212
"TRINITY_DN1067_c0_g1"	146.640492384944	-0.649244344550675	0.16331609926212	-3.97538483642476	7.02655400298267e-05	0.000221270354710424
"TRINITY_DN1069_c0_g1"	102.199787598415	-0.0168508235228431	0.167256173607335	-0.100748589181548	0.919750038980288	0.940584681276956
"TRINITY_DN106_c0_g1"	3.25294228616878	-2.45545060835774	2.00927214782984	-1.22205974487319	0.221685034587512	0.302360934726355
"TRINITY_DN1071_c0_g1"	13.3596738348885	0.720747286684702	0.539184184705857	1.3367366980133	0.181308598529702	0.255920803321634
"TRINITY_DN1072_c0_g1"	547.465220344639	1.57965432643392	0.141192163904646	11.1879744792405	4.66979372459386e-29	6.24936724767297e-28
"TRINITY_DN1074_c0_g1"	30.6444250961438	1.06962087245199	0.322330289476567	3.31840012364009	0.000905346933028651	0.00236498790668709
"TRINITY_DN1075_c0_g1"	95.2117145301113	1.1535507827964	0.199082143381413	5.79434580722974	6.85880052701485e-09	3.39044751176381e-08
"TRINITY_DN1076_c0_g1"	42.1801938065454	1.39494463677793	0.269948614067369	5.16744507689823	2.3731567159854e-07	1.01693363804337e-06
"TRINITY_DN1077_c0_g1"	799.73652036819	0.0684212545093188	0.143974338471713	0.475232289556669	0.63462141460935	0.718863195309707
"TRINITY_DN1078_c0_g1"	6.74230687607434	-1.32997043256936	0.899790028427074	-1.47808976600272	0.139383752962466	0.206550699023649
"TRINITY_DN1079_c0_g1"	237.413659984143	-0.36559767978013	0.134752492060396	-2.71310514699994	0.00666559526361387	0.0146301546233849
"TRINITY_DN107_c0_g1"	4.05723971887176	-0.93900420779783	1.54229841341685	-0.608834321314987	0.542634261776473	0.634830842976036
"TRINITY_DN1080_c0_g1"	4.06692549362674	-2.89874909171469	1.565265019123	-1.85192223444616	0.0640369906258583	0.106571601795162
"TRINITY_DN1081_c0_g1"	13.8348261655681	-1.38414391684157	0.568004816426499	-2.4368524294383	0.0148157242357004	0.0299007753078132
"TRINITY_DN1083_c0_g1"	9.93508964887532	0.563192586120681	0.64510757271159	0.873021198237381	0.38265152347496	0.476017445164369
"TRINITY_DN1085_c0_g1"	17.2843301354143	-0.574171022828767	0.505498696717677	-1.13585064918465	0.256019075361518	0.338290932709899
"TRINITY_DN1087_c0_g1"	4.760455543828	0.970169424272249	1.07588434699471	0.901741369304464	0.367194271590346	0.459203870678502
"TRINITY_DN1088_c0_g1"	50.4458329779062	2.2367679950125	0.294125543829233	7.60480700143184	2.85329373811992e-14	2.06545814176612e-13
"TRINITY_DN1089_c0_g1"	39.5629663718755	0.0372006396603111	0.294110234809341	0.126485362484671	0.899347735032123	0.926512958730186
"TRINITY_DN108_c0_g1"	6.58810447182447	-1.61194681717668	1.28174328880675	-1.257620641554	0.20852898465994	0.287480404599614
"TRINITY_DN1090_c0_g1"	77.9458691565706	0.728562790425905	0.263401965141328	2.76597325321774	0.00567531894558347	0.0126921829656625
"TRINITY_DN1091_c0_g1"	258.372980530114	-1.94910636779889	0.167221401784108	-11.6558427749296	2.142500774802e-31	3.13311941261368e-30
"TRINITY_DN1092_c0_g1"	38.5817754660413	-1.46492856490037	0.32552885353368	-4.50014967643662	6.79056308167029e-06	2.45208517519325e-05
"TRINITY_DN1094_c0_g1"	671.397232825271	0.580284263390979	0.115306935879873	5.03251828663214	4.84078414415306e-07	2.00638977098611e-06
"TRINITY_DN1095_c0_g1"	52.4453314303683	-0.510401382953426	0.251637681653737	-2.02831857136467	0.0425277447530041	0.0752850411507785
"TRINITY_DN1096_c0_g1"	55.6935806244373	-0.628899945205124	0.251016836919982	-2.50540940967081	0.0122309725601206	0.0251698470690585
"TRINITY_DN1097_c0_g1"	742.266859160487	-0.103513518449728	0.193744892109442	-0.534277406349664	0.593149621486986	0.681536369392587
"TRINITY_DN1099_c0_g1"	3.84308911430165	0.302107896441533	1.19655908720816	0.252480549996422	0.800669646090686	0.856482720427359
"TRINITY_DN10_c0_g1"	2.53589593682393	-4.26569397777442	3.6287673753758	-1.17552147506636	0.239786150700056	NA
"TRINITY_DN1100_c0_g1"	94.260190643774	-0.388528271125861	0.239321126621122	-1.62345997869613	0.104491112042272	0.162734511740612
"TRINITY_DN1100_c0_g2"	6.84531923163106	-2.58405709455568	1.20178146880228	-2.15018883352479	0.031540281066442	0.058132857530559
"TRINITY_DN1101_c0_g1"	5.94126006460606	0.0964709358221986	0.92852449775906	0.103897028085985	0.917251065588706	0.939279524715981
"TRINITY_DN1102_c0_g1"	96.9470460523057	0.561624607261154	0.180870861081799	3.10511380275433	0.0019020582744361	0.00467353071948167
"TRINITY_DN1103_c0_g1"	4.94936546752576	-3.21884104174609	1.47646859003002	-2.1800944926845	0.0292504579255971	0.0544380742782239
"TRINITY_DN1104_c0_g1"	187.859663298954	0.281461191989188	0.133246615674316	2.11233276406165	0.034657917504719	0.0630776417616832
"TRINITY_DN1105_c0_g1"	23.3024293902311	0.561121578232805	0.40051231014523	1.40100956704511	0.161211212236611	0.232314965448255
"TRINITY_DN1107_c0_g1"	25.2020934000823	1.00149936507154	0.396535752494811	2.52562186075427	0.011549371885376	0.0239164762300896
"TRINITY_DN1108_c0_g1"	33.692089848823	0.222747773066956	0.305284996905685	0.729638781219807	0.465611010430952	0.56118841181885
"TRINITY_DN1109_c0_g1"	4.89248249990966	-0.926548682467315	1.20734731874454	-0.767425137806067	0.442828787365858	0.53868260359353
"TRINITY_DN110_c0_g1"	3.21974483380295	-0.382251346559825	2.83635363174496	-0.134768578318867	0.892794850014428	0.921769592726986
"TRINITY_DN1110_c0_g1"	50.5870918165692	1.10249198121509	0.239331877174007	4.60654048358766	4.09423381516407e-06	1.5260453548813e-05
"TRINITY_DN1111_c0_g1"	11.5567236745104	-3.11499298666082	0.8346846062436	-3.73194014045555	0.000190010659487098	0.000559187442580371
"TRINITY_DN1112_c0_g1"	96.9487892981061	0.0581969801411009	0.16724987396769	0.347964269033432	0.727867017785442	0.798064411317707
"TRINITY_DN1113_c0_g1"	8.34781567222922	-2.25025672934136	0.988216989031808	-2.27708767843186	0.0227809903401303	0.0437137874604263
"TRINITY_DN1114_c0_g1"	7.59538682344809	-3.89321400727778	1.27624698463278	-3.05051769301379	0.00228447220030799	0.00552710885251494
"TRINITY_DN1115_c0_g1"	91.4812016489055	-0.879473786023292	0.295410812311416	-2.97712117962753	0.00290968978383615	0.00688803847870699
"TRINITY_DN1116_c0_g1"	25.1891587351969	-0.637845118141001	0.378299797957003	-1.68608368702723	0.091779681562246	0.145733061208003
